word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tohi;2;no;138076;675;932062911;19.87366696221212
arvuti;1;no;71376;675;932062911;19.10943191541394
muutus;1;no;73037;675;932062911;18.680323242647688
asuvad;1;no;79607;675;932062911;17.15646985687117
lood;1;no;84589;675;932062911;16.157025627373194
mõju;2;no;172513;675;932062911;15.927809653325328
vahet;1;no;86824;675;932062911;15.74553323494668
leidub;1;no;91367;675;932062911;14.970531244348598
enamus;1;no;92910;675;932062911;14.724377984355394
pildid;1;no;93881;675;932062911;14.57358261308646
esile;1;no;95617;675;932062911;14.311542375164734
saadaval;1;no;102282;675;932062911;13.387381197508905
jutt;1;no;102538;675;932062911;13.354258867337805
esitada;1;no;104279;675;932062911;13.133276738227462
oodata;1;no;109716;675;932062911;12.487936695689363
korraga;1;no;116474;675;932062911;11.769119676389062
suurema;1;no;119372;675;932062911;11.485613799722142
võimaluse;1;no;120836;675;932062911;11.347523908162618
infot;1;no;130694;675;932062911;10.497662655666565
uute;1;no;137907;675;932062911;9.952285589963797
tuntud;1;no;141729;675;932062911;9.685656176522713
tähendab;2;no;307512;675;932062911;8.956567104203199
lõpus;1;no;162169;675;932062911;8.47183936432846
elus;1;no;164607;675;932062911;8.347069149932976
ettevõtte;1;no;166847;675;932062911;8.235628338597845
valida;1;no;170584;675;932062911;8.05619008320068
Liidu;1;no;179189;675;932062911;7.671318294496016
protsenti;1;no;185183;675;932062911;7.424256712601393
piisavalt;1;no;200709;675;932062911;6.852602268532496
tähelepanu;1;no;219871;675;932062911;6.257911402661006
uue;2;no;452395;675;932062911;6.09405476393942
viimase;1;no;228217;675;932062911;6.029987587904259
Euroopa;3;no;720735;675;932062911;5.74147567836092
kuu;1;no;240549;675;932062911;5.722047056097663
asub;1;no;273380;675;932062911;5.037204672918572
inimeste;1;no;298555;675;932062911;4.61377527196842
aja;1;no;309245;675;932062911;4.454765262670943
tegemist;1;no;340389;675;932062911;4.048288123061189
päeva;1;no;454271;675;932062911;3.0354936460596296
