word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
estonia;PROPN;O;1;no;2;454;932046280;2198.9246836134707
kontserdisaali;NOUN;O;1;no;1267;454;932046280;933.9946318589252
oreliga;NOUN;O;1;no;231;454;932046280;1765.9636216104307
umbes;ADV;O;1;yes;1;454;932046280;2201.2813991706166
aasta;NOUN;O;2;no;2;454;932046280;4396.851508448466
käesoleva;ADJ;O;1;no;100968;454;932046280;20.156000862704797
kevadel;NOUN;O;1;no;91203;454;932046280;22.292249297704906
toimunud;ADJ;O;1;no;162376;454;932046280;12.576829296015378
sotsialistliku;ADJ;O;1;no;3533;454;932046280;459.99465446287354
vabariigi;NOUN;O;1;no;100640;454;932046280;20.221089324787588
kultuuripäevad;NOUN;O;1;no;224;454;932046280;1776.656744857428
liidus;PROPN;O;1;no;37219;454;932046280;53.835939535059566
hõivasid;VERB;O;1;no;1843;454;932046280;740.1308711613051
tugevasti;ADV;O;1;no;11368;454;932046280;166.98290185045866
vabariiki;NOUN;O;1;no;3627;454;932046280;450.5103248763991
kultuuriajakirjandus;NOUN;O;1;no;91;454;932046280;2007.6290397432842
pühendas;VERB;O;1;no;2388;454;932046280;618.6351777991899
klaveriõhtule;NOUN;O;1;no;1;454;932046280;2201.2813991706166
raekojas;NOUN;O;1;no;2720;454;932046280;562.3963288683567
mis;PRON;O;1;yes;1;454;932046280;2201.2813991706166
meeleolukas;ADJ;O;1;no;4488;454;932046280;378.9446278915056
muidugi;ADV;O;1;yes;2;454;932046280;2198.9246836134707
suur;ADJ;O;1;no;1;454;932046280;2201.2813991706166
suuremaks;ADJ;O;1;no;28901;454;932046280;68.84638603286942
mahuliselt;ADV;O;1;no;311;454;932046280;1652.3096957655825
kui;CCONJ;O;3;yes;1;454;932046280;6601.846341028247
sisuliselt;ADV;O;1;no;2;454;932046280;2198.9246836134707
olomoodsi;PROPN;O;1;no;1;454;932046280;2201.2813991706166
draamatrupi;NOUN;O;1;no;78;454;932046280;2033.4686255458898
