lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
oskama;VERB;O;2;no;442667;4541;932020281;0.927466487733229
tahtma;VERB;O;7;no;1254286;4541;932020281;1.145339864968144
jonnakas;ADJ;O;1;no;1390;4541;932020281;88.79234366664012
jätma;VERB;O;2;no;517566;4541;932020281;0.7934904458824158
järele;ADV;O;4;yes;148035;4541;932020281;5.517425459490593
no;INTJ;O;3;no;322221;4541;932020281;1.9082873719581888
vahel;ADV;O;4;yes;556128;4541;932020281;1.4754504010326204
mängija;NOUN;O;6;no;213656;4541;932020281;5.743124120954859
välismaa;NOUN;O;1;no;73395;4541;932020281;2.7739255793113617
esindama;VERB;O;1;no;94202;4541;932020281;2.167233363863607
vahepeal;ADV;O;2;yes;137501;4541;932020281;2.9720020878457176
mängima;VERB;O;11;no;537718;4541;932020281;4.193137590002857
turniir;NOUN;O;4;no;112263;4541;932020281;7.261047599819203
kuidagi;ADV;O;6;yes;230571;4541;932020281;5.323497005990933
turumajandus;NOUN;O;1;no;4301;4541;932020281;39.3993548123725
seisukoht;NOUN;O;1;no;167456;4541;932020281;1.2244197802634553
mõistev;ADJ;O;1;no;7442;4541;932020281;24.62110382742459
aga;ADV;O;4;yes;4573369;4541;932020281;0.17968087947835812
jälle;ADV;O;2;no;307793;4541;932020281;1.3326526788384212
näiteks;ADV;O;4;no;261356;4541;932020281;3.133633131403753
jaan;PROPN;O;1;no;102965;4541;932020281;1.9844421161822736
ehlvest;PROPN;O;1;no;716;4541;932020281;125.10624120860577
võistlema;VERB;O;2;no;56454;4541;932020281;7.169398109283753
võõras;NOUN;O;1;no;84429;4541;932020281;2.4153603379240782
mees;NOUN;O;9;no;1081890;4541;932020281;1.7067832092992865
sport;NOUN;O;1;no;91304;4541;932020281;2.2353265260505983
vist;ADV;O;8;yes;352771;4541;932020281;4.6448482092674235
struktuur;NOUN;O;1;no;59874;4541;932020281;3.390743578327628
mõte;NOUN;O;3;no;597359;4541;932020281;1.0307171709225207
pisut;ADV;O;1;yes;140167;4541;932020281;1.4612264662139796
võimalik;ADJ;O;3;no;944251;4541;932020281;0.6524332479322863
mingi;DET;O;4;yes;1065792;4541;932020281;0.7705033492227255
maakond;NOUN;O;3;no;130110;4541;932020281;4.705886146214984
tallinn;PROPN;O;5;no;826987;4541;932020281;1.2406527784380141
vastu;ADV;O;2;yes;1054528;4541;932020281;0.3898046514280905
viima;VERB;O;2;no;562042;4541;932020281;0.7308032173430753
eraldi;ADV;O;2;no;186558;4541;932020281;2.1943739975349166
läbi;ADP;O;1;yes;954418;4541;932020281;0.21581370012512965
meistrivõistlus;NOUN;O;2;no;77855;4541;932020281;5.2219670681103025
eest;ADP;O;2;yes;1111793;4541;932020281;0.3697438430907418
kuhu;ADV;O;2;yes;275114;4541;932020281;1.490415347713087
iga;DET;O;3;yes;1391258;4541;932020281;0.44294874897028225
