lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
kirjanduslik;ADJ;O;1;no;9122;3415;932062935;27.23914800350254
tegevus;NOUN;O;5;no;515904;3415;932062935;2.6422155646803516
õieti;ADV;O;8;no;23352;3415;932062935;89.9515221932097
kõrvalharrastus;NOUN;O;1;no;29;3415;932062935;284.95959874156847
turg;NOUN;O;1;no;193038;3415;932062935;1.4118885367107754
kohale;ADP;O;2;yes;127984;3415;932062935;4.241489704713408
kandideerima;VERB;O;3;no;44505;3415;932062935;18.04095921146234
põhiteos;NOUN;O;1;no;215;3415;932062935;238.7524694301051
näitama;VERB;O;1;no;578982;3415;932062935;0.472249469062609
paks;ADJ;O;1;no;61845;3415;932062935;4.362486798825803
rootsikeelne;ADJ;O;1;no;1372;3415;932062935;118.86138358585858
raamat;NOUN;O;19;no;510015;3415;932062935;10.15103383805282
saun;NOUN;O;4;no;65223;3415;932062935;16.516653389938714
jaa;INTJ;O;1;no;28232;3415;932062935;9.39046486538499
viljakuivatushoone;NOUN;O;1;no;1;3415;932062935;293.51086411228425
Põhja-Euroopa;PROPN;O;2;no;2839;3415;932062935;144.9978860432326
laialt;ADV;O;1;no;16759;3415;932062935;15.480364822013119
haarama;VERB;O;3;no;64818;3415;932062935;12.467337102161549
vastav;ADJ;O;2;no;182310;3415;932062935;2.9840100299730254
ehitis;NOUN;O;1;no;40529;3415;932062935;6.605332544231699
kasutamine;NOUN;O;1;no;434382;3415;932062935;0.6291184495086869
kogu;DET;O;3;yes;810088;3415;932062935;1.010737263554823
Norra;PROPN;O;3;no;60447;3415;932062935;13.355176177372874
Skandinaavia;PROPN;O;1;no;14377;3415;932062935;17.88901838641466
kuni;ADP;O;2;yes;831401;3415;932062935;0.6569439303334387
Uuraliten;PROPN;O;1;no;23;3415;932062935;286.7498028525148
kaasa;ADV;O;3;no;515534;3415;932062935;1.5871869575332573
natukene;ADV;O;1;no;65888;3415;932062935;4.098531134120581
ettekujutus;NOUN;O;2;no;18185;3415;932062935;28.60251888954658
tüüp;NOUN;O;1;no;176778;3415;932062935;1.5410725976905646
eesti;ADJ;O;6;no;457012;3415;932062935;3.57800104397365
soome;ADJ;O;5;no;45338;3415;932062935;29.51351701840884
hiline;ADJ;O;1;no;15643;3415;932062935;16.522658731189555
levima;VERB;O;1;no;51228;3415;932062935;5.25045586437029
mujalegi;ADV;O;1;no;1;3415;932062935;293.51086411228425
Lääne-Euroopa;PROPN;O;5;no;8321;3415;932062935;147.58273011518975
saama;VERB;O;16;yes;7285093;3415;932062935;0.599482536968302
vili;NOUN;O;3;no;49861;3415;932062935;16.138585699153257
kuivatamine;NOUN;O;3;no;7343;3415;932062935;99.06005616366738
täpselt;ADV;O;1;no;264891;3415;932062935;1.0302496152862417
sama;DET;O;7;yes;1115714;3415;932062935;1.7117835669673829
lugu;NOUN;O;1;no;453200;3415;932062935;0.6030494886290211
rehi;NOUN;O;1;no;1392;3415;932062935;117.83850781260972
tundma;VERB;O;2;no;633300;3415;932062935;0.8621389325235476
võõras;ADJ;O;1;no;84151;3415;932062935;3.218785253796225
teistsugune;DET;O;1;yes;60280;3415;932062935;4.474021870718612
ruum;NOUN;O;2;no;278787;3415;932062935;1.9548047529318753
kasutus;NOUN;O;2;no;174344;3415;932062935;3.1196282284921253
määr;NOUN;O;1;no;112695;3415;932062935;2.410201419002243
vahel;ADV;O;1;yes;555453;3415;932062935;0.49222045408323356
pesemine;NOUN;O;1;no;23193;3415;932062935;11.351850524115292
kasutama;VERB;O;2;no;1455497;3415;932062935;0.3754361730526602
saunaülesanne;NOUN;O;1;no;1;3415;932062935;293.51086411228425
täitma;VERB;O;2;no;261751;3415;932062935;2.081581307913602
vilje;NOUN;O;1;no;28;3415;932062935;285.2564121986379
kuivatatud;VERB;O;1;no;14827;3415;932062935;17.37819751419085
mitte;ADV;O;6;yes;1397004;3415;932062935;1.1721024864490899
pihk;NOUN;O;1;no;15446;3415;932062935;16.72139797055885
vaid;CCONJ;O;1;yes;1233871;3415;932062935;0.22178768140730662
tera;NOUN;O;1;no;23301;3415;932062935;11.301258493718931
hilisem;ADJ;O;2;no;45418;3415;932062935;11.79709625158006
kuivat;NOUN;O;1;no;16;3415;932062935;288.86701316194177
kohale;ADV;O;1;yes;127984;3415;932062935;2.124359851580928
tegelikult;ADV;O;2;no;475760;3415;932062935;1.1470636837214288
rajama;VERB;O;1;no;67903;3415;932062935;3.9785553560341804
üldse;ADV;O;2;no;442326;3415;932062935;1.2335842242562236
eriala;NOUN;O;1;no;74160;3415;932062935;3.647044675814168
ülikool;NOUN;O;4;no;193589;3415;932062935;5.617182160124703
varem;ADV;O;1;no;344486;3415;932062935;0.7928482546511451
professuur;NOUN;O;3;no;519;3415;932062935;564.9156761756735
erialatäitja;NOUN;O;1;no;1;3415;932062935;293.51086411228425
töötama;VERB;O;2;no;495634;3415;932062935;1.101154900677462
1962;NUM;O;1;no;1;3415;932062935;293.51086411228425
kuni;CCONJ;O;2;yes;831401;3415;932062935;0.6569439303334387
1986;NUM;O;1;no;1;3415;932062935;293.51086411228425
veerand;NUM;O;1;no;35140;3415;932062935;7.592138792186162
sajand;NOUN;O;2;no;175259;3415;932062935;3.103427294224969
koht;NOUN;O;2;no;1148987;3415;932062935;0.47550838257726696
niikaua;ADV;O;1;yes;14099;3415;932062935;18.219876365848915
pensioneeruma;VERB;O;1;no;89;3415;932062935;268.2147191279587
ilmuma;VERB;O;4;no;138432;3415;932062935;7.8403300067148445
11;NUM;O;1;no;1;3415;932062935;293.51086411228425
omaette;ADV;O;1;yes;57078;3415;932062935;4.72097588706045
artikkel;NOUN;O;1;no;448368;3415;932062935;0.6095349876739589
hulk;NOUN;O;1;no;165534;3415;932062935;1.6451648071350726
100;NUM;O;1;no;1;3415;932062935;293.51086411228425
ümber;ADP;O;1;yes;295135;3415;932062935;0.9250070089124356
tähtsam;ADJ;O;1;no;67340;3415;932062935;4.011364188361099
tutvustama;VERB;O;1;no;135198;3415;932062935;2.0117827202780334
talveesindama;VERB;O;1;no;1;3415;932062935;293.51086411228425
põhi;NOUN;O;1;no;119247;3415;932062935;2.278800496814626
Looming;PROPN;O;1;no;3002;3415;932062935;69.61355546362
esindama;VERB;O;1;no;94202;3415;932062935;2.8787176735015594
ajalooline;ADJ;O;1;no;72645;3415;932062935;3.7221397185279494
geograafiline;ADJ;O;1;no;14388;3415;932062935;17.87617384373324
talurahvakultuur;NOUN;O;3;no;46;3415;932062935;838.1139595060746
