word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
astrid;1;no;5061;3883;932046280;40.207359707967896
rahustada;1;no;5085;3883;932046280;40.04698589861252
esikohta;1;no;5136;3883;932046280;39.71040371275134
young;1;no;5146;3883;932046280;39.64506955456399
seksuaalne;1;no;5181;3883;932046280;39.41808330730631
üldises;1;no;5208;3883;932046280;39.24474776539615
purunenud;1;no;5212;3883;932046280;39.21919799185805
londonisse;1;no;5227;3883;932046280;39.12368190980031
rääkimas;1;no;5287;3883;932046280;38.74622517304356
vello;2;no;11484;3883;932046280;38.739956176525936
ettevalmistatud;1;no;5317;3883;932046280;38.56021490793935
kosta;1;no;5340;3883;932046280;38.418812102014485
liverpooli;2;no;11604;3883;932046280;38.369121972714815
kuulsad;1;no;5410;3883;932046280;37.99476649773974
daily;2;no;11733;3883;932046280;37.97831276246374
küsitav;1;no;5426;3883;932046280;37.89915280806338
tutvumist;1;no;5435;3883;932046280;37.84558128364333
positsioonile;1;no;5474;3883;932046280;37.61517744240507
piduliku;1;no;5485;3883;932046280;37.55069809570688
seob;2;no;11894;3883;932046280;37.50158687037872
jahti;1;no;5522;3883;932046280;37.3354260370223
ajalehtede;1;no;5550;3883;932046280;37.17415105010002
kartis;1;no;5576;3883;932046280;37.02563828824815
plaadi;3;no;18574;3883;932046280;36.96441604153606
kirjutati;2;no;12115;3883;932046280;36.86635874897179
lepiti;1;no;5655;3883;932046280;36.58158107346089
pakkusin;1;no;5655;3883;932046280;36.58158107346089
nõusolekut;1;no;5684;3883;932046280;36.42123366864642
plaatide;1;no;5759;3883;932046280;36.01298772162415
toimetus;1;no;5799;3883;932046280;35.79897648935181
seksikas;1;no;5845;3883;932046280;35.5559867191078
liikmetega;1;no;5861;3883;932046280;35.47223993393122
nõudsid;1;no;5910;3883;932046280;35.21820193336356
lõplikku;1;no;5910;3883;932046280;35.21820193336356
riskida;1;no;5997;3883;932046280;34.776007806727904
lauluga;1;no;6017;3883;932046280;34.67591922937358
rabas;1;no;6019;3883;932046280;34.66594204958436
politseinike;1;no;6028;3883;932046280;34.62111569845178
kõlbab;1;no;6065;3883;932046280;34.43804112246902
fännid;3;no;20025;3883;932046280;34.40511608296056
