word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
saanud;AUX;O;3;yes;1;14924;932062911
ilmas;NOUN;O;1;no;8799;14924;932062911
ringi;ADV;O;5;yes;1;14924;932062911
käia;VERB;O;4;no;111052;14924;932062911
režissööre;NOUN;O;1;no;249;14924;932062911
tundma;VERB;O;4;no;54833;14924;932062911
õppida;VERB;O;4;no;2;14924;932062911
uusi;ADJ;O;2;no;185874;14924;932062911
dirigenti;NOUN;O;1;no;482;14924;932062911
olete;AUX;O;19;yes;148316;14924;932062911
esinenud;VERB;O;2;no;22435;14924;932062911
poiste;NOUN;O;4;no;20599;14924;932062911
rollides;NOUN;O;1;no;1846;14924;932062911
õnnetus;NOUN;O;2;no;20278;14924;932062911
hääleliigist;NOUN;O;1;no;8;14924;932062911
metsosopranit;NOUN;O;1;no;22;14924;932062911
sellise;DET;O;12;yes;1;14924;932062911
saatusega;NOUN;O;1;no;1901;14924;932062911
nad;PRON;O;11;yes;1174316;14924;932062911
laulavad;VERB;O;1;no;6506;14924;932062911
Junge;PROPN;O;1;no;419;14924;932062911
lavarolle;NOUN;O;1;no;24;14924;932062911
mina;PRON;O;19;yes;1;14924;932062911
leian;VERB;O;1;no;32594;14924;932062911
osalt;ADV;O;1;no;12395;14924;932062911
elada;VERB;O;3;no;104163;14924;932062911
teisel;ADJ;O;2;yes;144232;14924;932062911
moel;NOUN;O;3;no;68205;14924;932062911
seda;PRON;O;49;yes;2;14924;932062911
Hansu;PROPN;O;1;no;2266;14924;932062911
Kreetet;PROPN;O;1;no;4;14924;932062911
mänginud;VERB;O;4;no;50707;14924;932062911
lühikestes;ADJ;O;1;no;604;14924;932062911
pükstes;NOUN;O;1;no;1119;14924;932062911
suust;NOUN;O;1;no;19965;14924;932062911
näidata;VERB;O;2;no;88578;14924;932062911
istud;VERB;O;2;no;5651;14924;932062911
jalad;NOUN;O;3;no;53404;14924;932062911
harkis;ADJ;O;1;no;549;14924;932062911
miseks;ADV;O;1;no;778;14924;932062911
daam;NOUN;O;1;no;6214;14924;932062911
laval;NOUN;O;9;no;35294;14924;932062911
tee;VERB;O;1;yes;1;14924;932062911
kukerpallita;NOUN;O;1;no;0;14924;932062911
tead;VERB;O;5;no;58121;14924;932062911
niisugune;ADJ;O;3;yes;18292;14924;932062911
teistmoodi;ADV;O;1;no;34390;14924;932062911
väljaelamine;NOUN;O;1;no;204;14924;932062911
Hoffmanni;PROPN;O;1;no;497;14924;932062911
lugudes;NOUN;O;1;no;3166;14924;932062911
Niklas;PROPN;O;1;no;738;14924;932062911
Keru;PROPN;O;1;no;15;14924;932062911
piinu;NOUN;O;1;no;687;14924;932062911
teised;PRON;O;4;yes;2;14924;932062911
peab;AUX;O;15;yes;1;14924;932062911
teatud;ADJ;O;8;no;1;14924;932062911
kehaline;ADJ;O;1;no;5388;14924;932062911
proportsioon;NOUN;O;1;no;656;14924;932062911
takse;VERB;O;1;no;948;14924;932062911
teisi;DET;O;1;yes;130732;14924;932062911
eeliseid;NOUN;O;1;no;10429;14924;932062911
meeldib;VERB;O;5;no;1;14924;932062911
ega;ADV;O;17;yes;706448;14924;932062911
ainult;ADV;O;18;yes;1;14924;932062911
rollid;NOUN;O;1;no;6407;14924;932062911
lollid;ADJ;O;1;no;1;14924;932062911
võtavad;VERB;O;1;no;56280;14924;932062911
kilosid;NOUN;O;1;no;1032;14924;932062911
maha;ADV;O;3;no;1;14924;932062911
sõltub;VERB;O;2;no;90306;14924;932062911
niisuellime;VERB;O;1;no;0;14924;932062911
teeme;VERB;O;5;yes;107499;14924;932062911
kaome;VERB;O;1;no;218;14924;932062911
proovime;VERB;O;1;no;10452;14924;932062911
juhul;NOUN;O;3;yes;2;14924;932062911
ongi;AUX;O;3;no;1;14924;932062911
osaliselt;ADV;O;3;no;57827;14924;932062911
Sparces;PROPN;O;1;no;0;14924;932062911
tihti;ADV;O;6;no;167105;14924;932062911
