lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
hoidma;VERB;O;7;no;581451;8801;932062935
tahtma;VERB;O;20;no;1254286;8801;932062935
seadus;NOUN;O;1;no;250723;8801;932062935
saama;VERB;O;26;yes;7285093;8801;932062935
konstateerima;VERB;O;2;no;1303;8801;932062935
ekskommunist;NOUN;O;1;no;113;8801;932062935
pidevalt;ADV;O;4;no;152216;8801;932062935
alluvussuhe;NOUN;O;1;no;294;8801;932062935
valitsema;VERB;O;2;no;53352;8801;932062935
kartma;VERB;O;2;no;147084;8801;932062935
pidev;ADJ;O;1;no;75209;8801;932062935
argumentatsioon;NOUN;O;1;no;1666;8801;932062935
veenduma;VERB;O;1;no;70594;8801;932062935
iseseisvus;NOUN;O;1;no;25316;8801;932062935
pidama;AUX;O;26;yes;3575612;8801;932062935
Rootsi;PROPN;O;13;no;146579;8801;932062935
valuutasüsteem;NOUN;O;3;no;79;8801;932062935
kõige;ADV;O;7;yes;1010725;8801;932062935
riskantsem;ADJ;O;1;no;1425;8801;932062935
hoopis;ADV;O;6;yes;292576;8801;932062935
kroonom;NOUN;O;1;no;0;8801;932062935
andma;VERB;O;4;no;1683851;8801;932062935
garantii;NOUN;O;1;no;41994;8801;932062935
toimima;VERB;O;5;no;156094;8801;932062935
näiteks;ADV;O;11;no;259375;8801;932062935
otseselt;ADV;O;2;no;66125;8801;932062935
seos;NOUN;O;3;no;78853;8801;932062935
puhul;ADP;O;3;yes;590821;8801;932062935
võlg;NOUN;O;7;no;33976;8801;932062935
valik;NOUN;O;5;no;366957;8801;932062935
tegemine;NOUN;O;6;no;590180;8801;932062935
eelarve;NOUN;O;10;no;115501;8801;932062935
koostamine;NOUN;O;1;no;80434;8801;932062935
juhtimine;NOUN;O;2;no;109312;8801;932062935
võlakoormus;NOUN;O;1;no;1713;8801;932062935
kogu;DET;O;13;yes;810088;8801;932062935
rahandussüsteem;NOUN;O;1;no;713;8801;932062935
