lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
vang;1;no;38174;5042;932020281;4.750760220090253
unikaalne;1;no;38524;5042;932020281;4.708617954722645
maine;1;no;38545;5042;932020281;4.706113181658586
õhk;4;no;156738;5042;932020281;4.695485165192713
tallinn;21;no;826987;5042;932020281;4.689842043874678
vaim;2;no;78168;5042;932020281;4.6856452051006885
medal;1;no;38749;5042;932020281;4.681919068647887
ainulaadne;1;no;38958;5042;932020281;4.657388595149645
kogutud;1;no;39148;5042;932020281;4.635310167372554
neiu;1;no;39435;5042;932020281;4.602354204589685
kriteerium;1;no;39507;5042;932020281;4.594159903629181
kole;1;no;39572;5042;932020281;4.586787292425054
üllatama;1;no;39948;5042;932020281;4.544599641584934
surnud;2;no;80743;5042;932020281;4.537919053804696
määratlema;1;no;40023;5042;932020281;4.536277219308489
ladu;1;no;40331;5042;932020281;4.50241703713975
küllap;1;no;40393;5042;932020281;4.495662053006542
kajastama;1;no;40589;5042;932020281;4.474440277712342
katsuma;1;no;40810;5042;932020281;4.450750688786899
esitlema;1;no;41069;5042;932020281;4.423305059593046
ilmselt;8;no;335183;5042;932020281;4.402488353338213
käik;2;no;83407;5042;932020281;4.394580699635325
liige;10;no;421094;5042;932020281;4.3823010519819325
jutustama;1;no;41757;5042;932020281;4.352016614438579
loomulikult;4;no;169880;5042;932020281;4.334222146703454
näpp;1;no;42202;5042;932020281;4.307118240004461
kontsert;3;no;128293;5042;932020281;4.298594303031622
praktiliselt;1;no;43084;5042;932020281;4.22081152114547
pühapäev;3;no;131142;5042;932020281;4.205868306327038
uuem;1;no;43422;5042;932020281;4.188646809015456
rikas;1;no;43562;5042;932020281;4.175467272764096
kena;2;no;90103;5042;932020281;4.07134122241076
hoiatama;1;no;44851;5042;932020281;4.057908901089204
mai;5;no;227841;5042;932020281;4.044133112045668
algselt;2;no;91319;5042;932020281;4.017675139245812
vajuma;1;no;46017;5042;932020281;3.957128911424865
ruum;6;no;280220;5042;932020281;3.948183799595909
ajastu;1;no;46367;5042;932020281;3.927847224177
säilitama;2;no;95310;5042;932020281;3.851068687781954
ülevaade;3;no;143378;5042;932020281;3.849254091347308
naljakas;1;no;48197;5042;932020281;3.7815393926930536
sissetulek;1;no;48367;5042;932020281;3.768499342544114
meeter;3;no;147382;5042;932020281;3.7453366508210943
pühendama;1;no;49843;5042;932020281;3.658951281335825
ekraan;2;no;101023;5042;932020281;3.635275925908527
aeg-ajalt;1;no;50215;5042;932020281;3.6323391762869104
ronima;1;no;50399;5042;932020281;3.619318776443345
aspekt;1;no;51012;5042;932020281;3.5766065951767114
püha;2;no;104803;5042;932020281;3.5053157389863943
härra;1;no;52237;5042;932020281;3.4942025362729376
laiali;1;no;52332;5042;932020281;3.4879703885830957
seminar;1;no;52339;5042;932020281;3.487512056968809
kant;1;no;52413;5042;932020281;3.482674194111953
pärinema;1;no;52672;5042;932020281;3.465846862662809
rõõmus;1;no;52825;5042;932020281;3.4559825776407687
tume;1;no;52829;5042;932020281;3.4557254409599856
no;6;no;322221;5042;932020281;3.435028553135173
kordama;1;no;53197;5042;932020281;3.4322314453976888
põnev;3;no;161518;5042;932020281;3.419426695227205
tõend;1;no;54186;5042;932020281;3.370645835424893
ajutine;1;no;54366;5042;932020281;3.3596740818739805
tarbima;1;no;54431;5042;932020281;3.3557295930398565
külastama;2;no;110645;5042;932020281;3.321782835028341
jutt;6;no;338783;5042;932020281;3.2675618840136056
tänama;2;no;112565;5042;932020281;3.2655890862632724
professionaalne;1;no;56476;5042;932020281;3.2361911211647385
hästi;10;no;574427;5042;932020281;3.214419184282403
loodetavasti;1;no;57144;5042;932020281;3.198967915124133
punane;3;no;172952;5042;932020281;3.1945772538004134
kivi;2;no;116568;5042;932020281;3.154336738552608
lootma;5;no;292518;5042;932020281;3.1527976913245777
kael;1;no;58130;5042;932020281;3.145563335509252
spetsiaalne;1;no;58208;5042;932020281;3.14141463993891
säilima;1;no;58564;5042;932020281;3.122617691730672
huvitav;5;no;295432;5042;932020281;3.1217977998269224
pudel;1;no;58625;5042;932020281;3.119419417567578
tegu;5;no;298039;5042;932020281;3.0945760080408844
tänane;3;no;182212;5042;932020281;3.03305527058303
algus;9;no;555196;5042;932020281;2.9931844947572905
sool;1;no;61140;5042;932020281;2.9930284961884026
tegutsema;3;no;184743;5042;932020281;2.9917106520219123
eraldi;3;no;186558;5042;932020281;2.962749351440252
kogunema;1;no;62007;5042;932020281;2.951798815544983
sulgema;1;no;62048;5042;932020281;2.949877194197492
varasem;2;no;125439;5042;932020281;2.932908430500028
tihe;1;no;62449;5042;932020281;2.9312138664437133
kergem;1;no;62630;5042;932020281;2.92286690535782
hing;2;no;126967;5042;932020281;2.897869193514803
traditsioon;1;no;63562;5042;932020281;2.880628695614892
periood;2;no;129262;5042;932020281;2.846786895074657
