lemma;upos;ner tag;count;stopword
hõljuma;VERB;O;1;no
suhtlema;VERB;O;1;no
üksteise;PRON;O;1;yes
naiselik;ADJ;O;1;no
ümar;ADJ;O;1;no
küllaltki;ADV;O;1;no
erootiline;ADJ;O;1;no
kahestus;NOUN;O;1;no
kujund;NOUN;O;2;no
terav;ADJ;O;1;no
mehelik;ADJ;O;1;no
sihuke;ADJ;O;1;yes
vaskuliinne;ADJ;O;1;no
abstraktne;ADJ;O;1;no
tähelepanelikult;ADV;O;1;no
siin;ADV;O;1;yes
tegutsema;VERB;O;1;no
taga;ADV;O;1;yes
öösel;ADV;O;2;no
päev;NOUN;O;2;no
sadama;VERB;O;1;no
kohati;ADV;O;1;yes
rannik;NOUN;O;1;no
tuiskama;VERB;O;1;no
öö;NOUN;O;1;no
hakul;ADP;O;1;no
kuni;ADV;O;1;yes
14;NUM;O;1;no
meeter;NOUN;O;2;no
sekund;NOUN;O;2;no
hommik;NOUN;O;1;no
taanduma;VERB;O;1;no
sada;NUM;O;1;no
ida;NOUN;O;1;no
poole;ADP;O;1;yes
tuul;NOUN;O;1;no
nõrgenema;VERB;O;2;no
puhangut;NOUN;O;1;no
12;NUM;O;1;no
alates;ADP;O;1;yes
saar;NOUN;O;1;no
selgem;ADJ;O;1;no
pöörduma;VERB;O;1;no
külm;ADJ;O;1;no
külmem;ADJ;O;1;no
sina;PRON;O;1;yes
uudis;NOUN;O;1;no
